timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img16.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img8.txt 0.01; image not correctly classified by the network. expected label  5  classified label:  6
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img4.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img10.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img27.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img76.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img11.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img18.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img23.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img28.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img77.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img50.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img0.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img60.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img49.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img30.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img43.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img9.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img12.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img68.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img55.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img20.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img29.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img46.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img56.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img6.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img86.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img51.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img96.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img36.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img57.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img54.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img24.txt 0.01; verified
